X,Y,Z
879,-601,1242
135,-816,857
-267,1577,-473
675,847,546
690,-1046,1354
-307,182,39
94,1847,-350
943,-217,1139
204,-1028,890
-264,1543,-491
647,816,503
676,-996,1306
-337,172,54
90,1814,-378
905,-315,1195
187,-862,885
-295,1526,-448
624,923,397
678,-1035,1322
-285,147,46
-60,1908,-392
928,-55,1135
253,-1022,979
-208,1689,-472
897,423,873
524,-1135,1206
-392,686,-222
336,1772,21
861,-927,1341
-13,-335,519
-224,1594,-437
796,663,683
587,-1134,1325
-365,256,-35
117,1739,-285
939,-36,1087
402,-1171,1092
-367,1230,-351
432,1308,102
848,-968,1331
-74,-435,489
-123,1668,-460
901,512,813
429,-1065,1113
-340,909,-237
322,1636,-166
923,-591,1287
124,-794,745
-258,1636,-501
650,819,520
774,-1102,1444
-254,-10,144
-48,1698,-307
963,213,918
378,-1111,1206
-324,1014,-317
426,1403,89
832,-1011,1385
-91,-195,342
-160,1771,-467
871,516,828
671,-1154,1290
-355,562,-159
301,1700,-66
876,-575,1232
196,-1033,927
-238,1503,-458
602,905,410
800,-1121,1393
-295,245,24
181,1774,-143
932,-412,1197
248,-916,937
-293,1283,-336
419,1357,43
822,-937,1397
-151,-154,280
-47,1705,-366
917,319,944
446,-1166,1147
-299,1120,-294
446,1285,137
830,-1011,1422
45,-522,584
-222,1630,-478
852,511,840
528,-1116,1228
-210,1576,-518
689,760,611
673,-1054,1338
-322,425,-75
239,1741,-187
939,-263,1147
254,-1045,979
-216,1345,-398
490,1399,183
779,-1168,1477
-211,-22,97
-33,1836,-376
917,5,1107
283,-1003,1024
-257,1261,-410
415,1641,74
804,-943,1387
-2,-406,561
-156,1645,-489
745,729,661
648,-1059,1316
-308,384,-70
216,1814,-261
855,-487,1276
91,-584,753
-228,1645,-578
655,846,532
667,-991,1336
-269,79,75
58,1726,-322
912,-6,1060
258,-1026,1029
-300,1196,-378
448,1321,139
785,-1007,1430
-123,-121,243
-32,1728,-421
910,268,1011
351,-1073,1095
-318,950,-264
209,1898,-147
905,-720,1283
110,-592,727
-277,1612,-515
641,1030,473
668,-1159,1381
-287,89,34
76,1776,-306
892,-225,1167
294,-1169,1091
-309,1383,-456
535,1248,351
821,-1008,1354
-111,-173,336
-111,1698,-425
893,527,851
452,-1072,1154
-348,767,-212
279,1747,-175
831,-660,1323
164,-902,798
-242,1636,-477
708,711,670
699,-1065,1343
-322,1424,-385
549,1043,297
749,-962,1370
-134,-223,316
-134,1640,-422
809,611,782
656,-1147,1316
-342,464,-153
220,1806,-159
